   -0.9  284.9
   24.3  241.9
   30.4  249.1
   52.7  228.8
   37.4  265.0
   41.6  311.3
   40.8  217.4
   25.1  272.0
   25.6  283.0
   31.2  199.1
   23.2  200.7
   40.0  235.8
   44.5  272.7
   29.3  220.4
   47.3  258.0
   24.2  341.6
   44.2  233.4
   24.8  243.5
   30.7  262.7
   21.9  232.0
   47.6  198.3
   35.8  338.0
   41.3  309.6
   54.8  165.2
   28.4  255.9
   30.2  287.4
   21.4  105.3
   37.5  202.6
   19.9  189.0
   26.5  231.3
   34.4  268.6
   34.9  282.9
   16.0  196.3
   33.8  333.7
   26.4  154.8
   41.3  326.8
   32.3  257.5
   67.3  196.0
   48.1  204.9
   40.2  230.5
   32.9  104.4
   33.2  246.9
   40.8  291.5
   52.8  229.9
   31.4  227.1
   32.6  205.1
   39.3  231.3
   39.0  268.4
   29.7  216.1
   24.4  207.3
   49.7  293.9
   26.6  250.4
   32.1  365.1
   18.8  191.5
   32.2  232.3
   25.5  279.6
   37.1  226.0
   40.2  233.2
   40.8  154.1
   37.5  295.1
   64.3  267.1
   41.2  201.3
   27.5  229.2
   39.1  246.6
   32.6  260.8
   37.7  206.3
   24.0  258.6
   45.1  205.3
   33.0  150.3
   39.0  267.9
   22.7  231.4
   49.1  259.8
   42.9  189.0
   39.0  157.2
   40.0  324.8
   37.6  240.9
   36.3  322.5
   44.2  234.3
   49.9  208.1
   33.9  218.1
   55.5  237.4
   40.4  256.4
   21.4  288.9
   21.6  343.1
   32.2  267.7
   58.3  143.6
   30.5  300.8
   33.0  257.4
   25.2  191.9
   36.9  253.4
   48.0  257.4
   19.2  294.7
   32.3  206.9
   49.8  174.2
   43.2  239.3
   32.6  229.7
   56.0  310.8
   42.5  300.0
   40.4  289.0
   34.4  157.6
   41.6  333.7
   30.3  333.0
   32.2  235.8
   55.2  315.5
   25.6  261.6
   46.9  241.9
   23.1  277.4
   34.3  359.4
   14.8  254.4
   28.3  253.5
   33.8  213.6
   33.9  270.5
   26.3  258.3
   18.7  258.8
   34.7  194.1
   51.7  285.8
   38.1  313.2
   28.6  237.5
   34.3  242.0
   30.2  238.9
   27.7  241.9
   42.9  304.1
   32.4  318.5
   28.1  393.2
   49.8  265.7
   41.6  235.3
   29.3  265.3
   27.1  135.1
   61.3  230.0
   30.5  240.7
   41.6  264.1
   50.5  233.3
   27.3  263.4
   40.1  305.2
   38.3  316.4
   26.5  268.0
   31.9  223.2
   49.1  262.6
   17.1  310.6
   45.1  169.5
   61.9  263.0
   26.8  213.7
   45.3  182.9
   39.8  238.6
   21.9  249.4
   48.9  233.6
   14.5  313.8
   44.0  312.3
   43.5  312.6
   50.5  151.2
   37.9  311.7
   44.0  332.2
   38.9  235.0
   31.7  269.5
   25.5  205.1
   15.2  302.3
   53.3  314.6
   38.8  210.1
   27.9  210.0
   27.9  264.5
   25.7  264.5
   17.6  191.6
   28.1  264.7
   52.8  195.3
   13.7  266.5
   26.1  333.7
   41.8  263.5
   41.8  252.6
   50.8  317.9
   25.5  249.9
    7.3  283.3
   31.0  315.5
   18.2  261.6
   46.3  170.8
   45.8  277.8
   34.7  307.4
   40.2  199.9
   37.2  272.5
   36.9  258.6
   33.6  333.9
   27.4  289.8
   54.5  192.7
   36.1  317.6
   10.8  261.1
   28.7  225.9
   44.0  274.0
   50.0  223.4
   20.9  317.3
   23.9  272.2
   66.0  301.3
   12.6  217.9
   39.8  180.5
   29.9  202.9
   27.7  182.4
   35.7  275.3
   34.8  266.2
   17.5  264.9
   25.1  287.8
   48.5  351.0
   32.8  209.5
   44.9  386.7
   48.8  308.4
   32.8  282.3
   20.4  331.2
   36.1  252.1
   42.3  195.7
   50.2  366.8
   34.1  209.2
   23.8  187.4
   47.0  234.8
   45.5  279.3
   18.1  193.6
   24.6  282.1
   44.3  361.7
   22.2  250.0
   43.0  246.6
   25.1  163.0
   40.2  281.7
   48.6  246.9
   41.5  270.3
   48.3  288.2
   33.9  216.1
   50.9  182.8
   45.3  255.4
   25.7  254.2
   42.0  238.4
   45.1  294.6
   27.2  251.5
   53.2  215.5
   12.0  245.1
   40.0  274.3
   33.2  277.8
   41.1  268.4
   56.6  165.5
   28.8  328.7
   15.4  254.2
   46.7  263.6
   42.9  220.1
   18.8  241.6
   26.5  279.0
   23.2  178.6
   30.0  321.4
   33.4  179.3
   26.1  311.2
   42.2  258.0
   50.2  263.2
   10.1  192.8
   31.9  263.4
   19.2  199.3
   43.1  223.8
